c,l2_normalize,train_speaker,test_speaker,accuracy
0.001,False,OAF,YAF,0.8535714285714285
0.001,False,YAF,OAF,0.825
0.001,True,OAF,YAF,0.8364285714285714
0.001,True,YAF,OAF,0.76
0.003,False,OAF,YAF,0.8528571428571429
0.003,False,YAF,OAF,0.8221428571428572
0.003,True,OAF,YAF,0.8457142857142858
0.003,True,YAF,OAF,0.7921428571428571
0.01,False,OAF,YAF,0.8528571428571429
0.01,False,YAF,OAF,0.8214285714285714
0.01,True,OAF,YAF,0.8535714285714285
0.01,True,YAF,OAF,0.8221428571428572
0.03,False,OAF,YAF,0.8514285714285714
0.03,False,YAF,OAF,0.8221428571428572
0.03,True,OAF,YAF,0.8578571428571429
0.03,True,YAF,OAF,0.8328571428571429
0.1,False,OAF,YAF,0.8514285714285714
0.1,False,YAF,OAF,0.8221428571428572
0.1,True,OAF,YAF,0.8571428571428571
0.1,True,YAF,OAF,0.8407142857142857
0.3,False,OAF,YAF,0.8514285714285714
0.3,False,YAF,OAF,0.8221428571428572
0.3,True,OAF,YAF,0.8571428571428571
0.3,True,YAF,OAF,0.8392857142857143
1.0,False,OAF,YAF,0.8514285714285714
1.0,False,YAF,OAF,0.8221428571428572
1.0,True,OAF,YAF,0.8571428571428571
1.0,True,YAF,OAF,0.8392857142857143
3.0,False,OAF,YAF,0.8514285714285714
3.0,False,YAF,OAF,0.8221428571428572
3.0,True,OAF,YAF,0.8564285714285714
3.0,True,YAF,OAF,0.84
10.0,False,OAF,YAF,0.8514285714285714
10.0,False,YAF,OAF,0.8221428571428572
10.0,True,OAF,YAF,0.8564285714285714
10.0,True,YAF,OAF,0.8378571428571429
