train_speaker,test_speaker,transform,l2_normalize,accuracy
OAF,YAF,baseline,False,0.8514285714285714
OAF,YAF,baseline,True,0.8571428571428571
OAF,YAF,separate_centering,False,0.8578571428571429
OAF,YAF,separate_centering,True,0.8614285714285714
OAF,YAF,separate_zscore,False,0.8585714285714285
OAF,YAF,separate_zscore,True,0.8614285714285714
OAF,YAF,coral_source_to_target,False,0.7814285714285715
OAF,YAF,coral_source_to_target,True,0.8285714285714286
YAF,OAF,baseline,False,0.8221428571428572
YAF,OAF,baseline,True,0.8392857142857143
YAF,OAF,separate_centering,False,0.815
YAF,OAF,separate_centering,True,0.8164285714285714
YAF,OAF,separate_zscore,False,0.815
YAF,OAF,separate_zscore,True,0.8178571428571428
YAF,OAF,coral_source_to_target,False,0.7621428571428571
YAF,OAF,coral_source_to_target,True,0.8078571428571428
