,precision,recall,f1-score,support
angry,0.5094339622641509,0.675,0.5806451612903226,200.0
disgust,0.7473684210526316,0.71,0.7282051282051282,200.0
fear,0.7219917012448133,0.87,0.7891156462585034,200.0
happy,0.18823529411764706,0.16,0.17297297297297298,200.0
neutral,0.9933774834437086,0.75,0.8547008547008547,200.0
pleasant_surprise,0.5304878048780488,0.435,0.47802197802197804,200.0
sad,0.7534246575342466,0.825,0.7875894988066826,200.0
accuracy,0.6321428571428571,0.6321428571428571,0.6321428571428571,0.6321428571428571
macro avg,0.6349027606478924,0.6321428571428571,0.6273216057509204,1400.0
weighted avg,0.6349027606478924,0.6321428571428571,0.6273216057509203,1400.0
