,precision,recall,f1-score,support
angry,0.5880398671096345,0.885,0.7065868263473054,200.0
disgust,0.4033412887828162,0.845,0.5460420032310178,200.0
fear,0.8326359832635983,0.995,0.9066059225512528,200.0
happy,0.0,0.0,0.0,200.0
neutral,0.5892857142857143,0.99,0.7388059701492538,200.0
pleasant_surprise,0.38636363636363635,0.085,0.13934426229508196,200.0
sad,0.7666666666666667,0.23,0.35384615384615387,200.0
accuracy,0.5757142857142857,0.5757142857142857,0.5757142857142857,0.5757142857142857
macro avg,0.5094761652102952,0.5757142857142857,0.4844615912028665,1400.0
weighted avg,0.5094761652102952,0.5757142857142857,0.48446159120286647,1400.0
