,precision,recall,f1-score,support
angry,0.6150943396226415,0.815,0.7010752688172043,200.0
disgust,0.5434782608695652,0.875,0.6704980842911877,200.0
fear,0.6253968253968254,0.985,0.7650485436893204,200.0
happy,0.0,0.0,0.0,200.0
neutral,0.6633333333333333,0.995,0.796,200.0
pleasant_surprise,0.4807692307692308,0.25,0.32894736842105265,200.0
sad,0.7446808510638298,0.35,0.47619047619047616,200.0
accuracy,0.61,0.61,0.61,0.61
macro avg,0.5246789772936323,0.61,0.5339656773441773,1400.0
weighted avg,0.5246789772936323,0.61,0.5339656773441773,1400.0
