,precision,recall,f1-score,support
angry,0.9836956521739131,0.905,0.9427083333333334,200.0
disgust,0.9569377990430622,1.0,0.9779951100244498,200.0
fear,0.9900497512437811,0.995,0.9925187032418953,200.0
happy,0.10526315789473684,0.01,0.0182648401826484,200.0
neutral,1.0,1.0,1.0,200.0
pleasant_surprise,0.5051813471502591,0.975,0.6655290102389079,200.0
sad,0.9950248756218906,1.0,0.9975062344139651,200.0
accuracy,0.8407142857142857,0.8407142857142857,0.8407142857142857,0.8407142857142857
macro avg,0.7908789404468062,0.8407142857142856,0.7992174616336,1400.0
weighted avg,0.7908789404468062,0.8407142857142857,0.7992174616336,1400.0
