top_k_per_predicted_class,train_speaker,test_speaker,selected_target_samples,baseline_accuracy,adapted_accuracy
10,OAF,YAF,61,0.8571428571428571,0.8578571428571429
10,YAF,OAF,70,0.8407142857142857,0.8271428571428572
20,OAF,YAF,121,0.8571428571428571,0.8578571428571429
20,YAF,OAF,139,0.8407142857142857,0.8264285714285714
30,OAF,YAF,181,0.8571428571428571,0.8571428571428571
30,YAF,OAF,199,0.8407142857142857,0.8392857142857143
40,OAF,YAF,241,0.8571428571428571,0.8571428571428571
40,YAF,OAF,259,0.8407142857142857,0.8464285714285714
50,OAF,YAF,301,0.8571428571428571,0.8571428571428571
50,YAF,OAF,319,0.8407142857142857,0.8457142857142858
75,OAF,YAF,451,0.8571428571428571,0.8571428571428571
75,YAF,OAF,469,0.8407142857142857,0.8478571428571429
100,OAF,YAF,601,0.8571428571428571,0.8571428571428571
100,YAF,OAF,619,0.8407142857142857,0.8521428571428571
