,precision,recall,f1-score,support
angry,0.3890577507598784,0.64,0.4839319470699433,200.0
disgust,0.9666666666666667,0.145,0.25217391304347825,200.0
fear,0.8636363636363636,0.095,0.17117117117117117,200.0
happy,0.1947069943289225,0.515,0.2825788751714678,200.0
neutral,0.994413407821229,0.89,0.9393139841688655,200.0
pleasant_surprise,0.35294117647058826,0.09,0.14342629482071714,200.0
sad,0.7615384615384615,0.99,0.8608695652173913,200.0
accuracy,0.4807142857142857,0.4807142857142857,0.4807142857142857,0.4807142857142857
macro avg,0.6461372601745872,0.48071428571428576,0.44763796438043346,1400.0
weighted avg,0.6461372601745872,0.4807142857142857,0.4476379643804335,1400.0
