,precision,recall,f1-score,support
angry,1.0,0.445,0.615916955017301,200.0
disgust,0.2706359945872801,1.0,0.42598509052183176,200.0
fear,0.8641304347826086,0.795,0.828125,200.0
happy,0.0,0.0,0.0,200.0
neutral,0.9698492462311558,0.965,0.9674185463659147,200.0
pleasant_surprise,0.0,0.0,0.0,200.0
sad,0.41379310344827586,0.36,0.3850267379679144,200.0
accuracy,0.5092857142857142,0.5092857142857142,0.5092857142857142,0.5092857142857142
macro avg,0.5026298255784744,0.5092857142857142,0.46035318998185165,1400.0
weighted avg,0.5026298255784742,0.5092857142857142,0.46035318998185165,1400.0
