,precision,recall,f1-score,support
angry,0.8098591549295775,0.575,0.672514619883041,200.0
disgust,0.8095238095238095,0.595,0.6858789625360231,200.0
fear,0.827906976744186,0.89,0.8578313253012049,200.0
happy,0.16535433070866143,0.105,0.12844036697247707,200.0
neutral,0.896551724137931,0.91,0.9032258064516129,200.0
pleasant_surprise,0.38341968911917096,0.74,0.5051194539249146,200.0
sad,0.8,0.72,0.7578947368421053,200.0
accuracy,0.6478571428571429,0.6478571428571429,0.6478571428571429,0.6478571428571429
macro avg,0.6703736693090481,0.6478571428571429,0.6444150388444827,1400.0
weighted avg,0.6703736693090481,0.6478571428571429,0.6444150388444826,1400.0
