,precision,recall,f1-score,support
angry,0.5,1.0,0.6666666666666666,200.0
disgust,1.0,1.0,1.0,200.0
fear,1.0,0.995,0.9974937343358395,200.0
happy,1.0,0.005,0.009950248756218905,200.0
neutral,1.0,1.0,1.0,200.0
pleasant_surprise,1.0,1.0,1.0,200.0
sad,1.0,1.0,1.0,200.0
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
macro avg,0.9285714285714286,0.8571428571428571,0.8105872356798179,1400.0
weighted avg,0.9285714285714286,0.8571428571428571,0.8105872356798178,1400.0
