,precision,recall,f1-score,support
angry,0.99375,0.795,0.8833333333333333,200.0
disgust,0.8968609865470852,1.0,0.9456264775413712,200.0
fear,0.9950248756218906,1.0,0.9975062344139651,200.0
happy,0.11363636363636363,0.025,0.040983606557377046,200.0
neutral,0.9950248756218906,1.0,0.9975062344139651,200.0
pleasant_surprise,0.5080213903743316,0.95,0.662020905923345,200.0
sad,1.0,0.985,0.9924433249370277,200.0
accuracy,0.8221428571428572,0.8221428571428572,0.8221428571428572,0.8221428571428572
macro avg,0.7860454988287946,0.8221428571428572,0.788488588160055,1400.0
weighted avg,0.7860454988287945,0.8221428571428572,0.7884885881600548,1400.0
