,precision,recall,f1-score,support
angry,1.0,1.0,1.0,200.0
disgust,1.0,0.99,0.9949748743718593,200.0
fear,1.0,1.0,1.0,200.0
happy,1.0,1.0,1.0,200.0
neutral,0.9950248756218906,1.0,0.9975062344139651,200.0
pleasant_surprise,0.9900497512437811,0.995,0.9925187032418953,200.0
sad,1.0,1.0,1.0,200.0
accuracy,0.9978571428571429,0.9978571428571429,0.9978571428571429,0.9978571428571429
macro avg,0.997867803837953,0.9978571428571429,0.99785711600396,1400.0
weighted avg,0.997867803837953,0.9978571428571429,0.9978571160039599,1400.0
