,precision,recall,f1-score,support
angry,0.29838709677419356,0.185,0.22839506172839505,200.0
disgust,0.35379061371841153,0.49,0.4109014675052411,200.0
fear,0.6298932384341637,0.885,0.735966735966736,200.0
happy,0.5,0.13,0.20634920634920634,200.0
neutral,0.8342857142857143,0.73,0.7786666666666666,200.0
pleasant_surprise,0.423963133640553,0.46,0.4412470023980815,200.0
sad,0.5218978102189781,0.715,0.6033755274261603,200.0
accuracy,0.5135714285714286,0.5135714285714286,0.5135714285714286,0.5135714285714286
macro avg,0.5088882295817163,0.5135714285714286,0.48641452400578383,1400.0
weighted avg,0.5088882295817163,0.5135714285714286,0.48641452400578383,1400.0
