,precision,recall,f1-score,support
angry,0.16170212765957448,0.19,0.17471264367816092,200.0
disgust,0.37745098039215685,0.385,0.3811881188118812,200.0
fear,0.6593886462882096,0.755,0.703962703962704,200.0
happy,0.32432432432432434,0.12,0.17518248175182483,200.0
neutral,0.40771349862258954,0.74,0.5257548845470693,200.0
pleasant_surprise,0.5111111111111111,0.115,0.18775510204081633,200.0
sad,0.592,0.74,0.6577777777777778,200.0
accuracy,0.435,0.435,0.435,0.435
macro avg,0.43338438405685226,0.4350000000000001,0.40090481608146206,1400.0
weighted avg,0.4333843840568523,0.435,0.40090481608146206,1400.0
