,precision,recall,f1-score,support
angry,0.5391061452513967,0.965,0.6917562724014337,200.0
disgust,1.0,0.995,0.9974937343358395,200.0
fear,1.0,1.0,1.0,200.0
happy,0.0,0.0,0.0,200.0
neutral,1.0,1.0,1.0,200.0
pleasant_surprise,1.0,1.0,1.0,200.0
sad,0.823045267489712,1.0,0.9029345372460497,200.0
accuracy,0.8514285714285714,0.8514285714285714,0.8514285714285714,0.8514285714285714
macro avg,0.766021630391587,0.8514285714285714,0.7988835062833318,1400.0
weighted avg,0.7660216303915869,0.8514285714285714,0.7988835062833318,1400.0
